Название;Сслыка;Цена;Место;Время с момента публикации
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1833294237;28 800;р-н Правобережный;1 день назад
Диван новый;https://www.avito.ru//lipetsk/mebel_i_interer/divan_novyy_1257674593;12 000;р-н Советский;1 день назад
Комплект диван и кресла;https://www.avito.ru//lipetsk/mebel_i_interer/komplekt_divan_i_kresla_1974567480;55 000;р-н Советский;3 недели назад
Диван-кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan-krovat_1965147128;7 000;р-н Октябрьский;2 недели назад
Диван кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan_krovat_962922713;7 500;р-н Правобережный;3 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1035946149;7 000;р-н Правобережный;3 дня назад
Диван аккордеон Браво 1300 нп;https://www.avito.ru//lipetsk/mebel_i_interer/divan_akkordeon_bravo_1300_np_1882781186;10 500;р-н Советский;20 июля 18:06
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1857533092;10 000;р-н Октябрьский;3 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_848137432;9 500;р-н Правобережный;5 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1940738984;6 500;р-н Октябрьский;3 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1134484121;14 500;р-н Советский;6 дней назад
"Угловой диван ""Премьер 2""";https://www.avito.ru//lipetsk/mebel_i_interer/uglovoy_divan_premer_2_1981235633;19 500;р-н Советский;3 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1503453714;13 500;р-н Правобережный;2 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1931139927;12 460;р-н Правобережный;3 недели назад
Диван в Липецке;https://www.avito.ru//lipetsk/mebel_i_interer/divan_v_lipetske_1084550322;17 500;р-н Советский;3 дня назад
Диван кожаный;https://www.avito.ru//lipetsk/mebel_i_interer/divan_kozhanyy_1013000875;9 000;р-н Советский;1 неделю назад
Диван, мини диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_mini_divan_1430536952;13 000;р-н Советский;21 июля 12:20
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1902018012;150 000;р-н Советский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1113480625;13 500;р-н Советский;6 дней назад
Диван-кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan-krovat_1263179106;8 000;р-н Правобережный;6 дней назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1929576632;24 250;р-н Правобережный;4 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1664733690;18 400;р-н Октябрьский;4 дня назад
"Диван-ортопед ""Стефани А""";https://www.avito.ru//lipetsk/mebel_i_interer/divan-ortoped_stefani_a_1941308687;27 000;р-н Советский;2 недели назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1179263014;19 000;р-н Советский;5 дней назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1250751033;15 860;р-н Советский;3 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1925516467;12 000;р-н Октябрьский;2 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1858301578;6 000;р-н Советский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1966666777;6 000;р-н Правобережный;21 июля 12:35
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1938275688;4 000;р-н Советский;20 июля 13:19
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1965069558;15 000;р-н Советский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1951767417;5 000;р-н Октябрьский;2 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1105481982;9 100;р-н Правобережный;2 недели назад
Диван для салона красоты;https://www.avito.ru//lipetsk/mebel_i_interer/divan_dlya_salona_krasoty_1956649841;5 990;р-н Советский;2 недели назад
Диван кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan_krovat_1102685734;6 790;р-н Советский;5 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1929906148;24 100;р-н Октябрьский;3 дня назад
